Notebook_Name,Features,Clusters,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia
ServiceTickets001 (Baseline),TF-IDF / KMeans,5,0.0124,5.9371,332.9563,45226.67
ServiceTickets002 (Semantic),SBERT / PCA / KMeans,5,0.1171,2.1491,500.8993,6808.62
ServiceTickets003 (Dynamic K),SBERT / PCA / KMeans (Elbow),5,0.1171,2.1491,5008.99,6808.62
ServiceTickets004 (Advanced),SBERT / PCA / HNSW / HDBSCAN,5,0.1038,2.2622,45.852,77.3475
ServiceTickets005 (StackExchange),SBERT / PCA / HNSW / HDBSCAN,8,0.23303796350955963,1.7117885992435844,1113.664349450276,8622.2265625
